ROUND_SHOT_ID,ROUND_HOLE_ID,HOLE_NO,PLAYED_DT_TIME,COURSE_NAME,SHORT_DESCR,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN,END_TERRAIN,SHOT_DIST,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST
47664291,10327919,1,9/12/2017 7:43:26  PM ,New Seabury CC - Ocean,Dr,F,T,F,406.4710083,266.6900024,tee,rough,179.7369995,F,,F,F,T,42.31060028
5779046,1491060,13,7/9/2015 8:11:03  PM ,Westchester CC - West,Dr,F,F,T,368.7179871,150.1210022,tee,rough,222.4369965,F,,F,T,F,31.29759979
14734023,5482640,13,7/27/2016 2:54:05  PM ,Old Oaks CC,Dr,F,T,F,374.2510071,155.1860046,tee,rough,227.3880005,F,,F,F,T,28.03160095
45097091,9729329,18,8/18/2017 5:36:24  PM ,The Apawamis Club,3h,T,F,F,306.6549988,107.4840012,tee,fairway,199.6849976,F,,F,F,T,1.679039955
12391765,5670751,6,9/11/2015 10:28:00  PM ,Innis Arden GC,Dr,T,F,F,254.2409973,32.07820129,tee,fairway,223.8119965,F,,F,F,T,3.203569889
56761330,12368178,10,3/1/2018 4:06:24  PM ,Seminole GC,3h,T,F,F,340.2799988,111.1389999,tee,fairway,229.1849976,F,,F,T,F,5.577050209
21513046,3047247,7,10/20/2014 8:41:00  PM ,Longshore Club Park,Dr,T,F,F,475.25,235.423996,tee,fairway,244.4149933,F,,F,T,F,10.09959984
8359298,5852413,14,5/25/2016 8:08:02  PM ,Garden City GC,Dr,T,F,F,301.0020142,60.80920029,tee,fairway,242.0420074,F,,F,F,T,7.650629997
56011653,12196882,4,2/15/2018 5:17:50  PM ,Tamarack CC - Temp Greens,Dr,F,F,T,382.5509949,175.727005,tee,rough,208.4210052,F,,F,T,F,27.70829964
10760188,530094,9,4/21/2016 4:10:04  PM ,The Ridgewood CC - East/West,Dr,F,T,F,325.5490112,107.7089996,tee,rough,236.4299927,F,,F,F,T,18.45100021
65365158,14284375,18,5/22/2018 9:39:46  PM ,Shinnecock Hills GC,8i,T,F,F,263.6700134,176.4819946,rough,fairway,100.8349991,F,,F,T,F,2.130700111
14495899,3031969,1,7/2/2016 10:04:04  AM ,Cabot Links,Dr,F,F,T,483.7269897,259.6549988,tee,rough,224.1529999,F,,F,T,F,40.30009842
30810946,6576452,6,3/30/2017 6:25:34  PM ,Oak Hills Park GC,3h,T,F,F,273.2600098,96.95850372,tee,fairway,195.5829926,F,,F,T,F,10.75370026
27866196,2455700,2,2/23/2017 7:54:04  PM ,Westchester CC - South,Dr,F,F,T,343.8989868,143.6589966,tee,rough,223.1119995,F,,F,T,F,42.90250015
49005491,10636960,10,9/28/2017 3:22:49  PM ,Streamsong Resort - Red,Dr,T,F,F,389.6990051,158.7440033,tee,fairway,231.0209961,F,,F,T,F,9.292320251
24593873,3188665,3,11/29/2014 6:17:01  AM ,Royal Palms Golf & Country Club,Dr,F,T,F,462.3500061,268.8640137,tee,rough,195.7749939,F,,F,F,T,36.66049957
29822659,6350817,5,3/11/2017 1:04:01  AM ,Stanford University GC,6i,T,F,F,345.3089905,190.5050049,tee,fairway,163.0339966,F,,F,F,T,5.94329977
52130880,11336392,8,11/15/2017 5:30:39  PM ,Jupiter Hills Club - Hills,Dr,T,F,F,339.4360046,105.7170029,tee,fairway,234.0650024,F,,F,T,F,13.13669968
4965801,5698050,10,5/12/2015 12:19:03  PM ,Oak Hills Park GC,Dr,T,F,F,494.9700012,263.6329956,tee,fairway,237.9869995,F,,F,T,F,10.98099995
51810000,11259906,1,11/7/2017 5:03:33  PM ,Wee Burn CC,54-¦,T,F,F,249.7949982,172.177002,rough,fairway,78.80879974,F,,F,F,T,8.835829735
6614665,1943648,5,6/16/2015 5:37:03  PM ,International GC Inc - Pines Course,Dr,T,F,F,506.0329895,296.151001,tee,fairway,223.8079987,F,,F,F,T,2.898390055
44397369,9582311,15,8/11/2017 6:39:51  PM ,The Stanwich Club,2w,T,F,F,360.7630005,127.3389969,tee,fairway,233.7649994,F,,F,T,F,11.59860039
16302125,6046720,14,10/12/2016 3:26:01  PM ,Tamarack CC,Dr,F,T,F,395.3450012,194.4160004,tee,rough,207.052002,F,,F,F,T,31.00510025
16483624,414849,9,8/31/2016 5:52:00  PM ,Sunningdale CC,4h,F,T,F,193.9409943,11.86699963,tee,green,205.7129974,F,,F,F,T,12.10709953
7622616,2794154,6,4/25/2015 8:39:00  PM ,Doral GC,Dr,F,F,T,302.2390137,85.32440186,tee,rough,229.3540039,F,,F,T,F,17.75169945
21504751,1333058,8,10/15/2014 5:49:05  PM ,Old Oaks CC,Dr,F,T,F,382.5159912,159.8470001,tee,rough,226.7899933,F,,F,F,T,16.22979927
44424412,9586093,11,8/12/2017 7:32:54  PM ,Quaker Ridge GC,3w,F,F,T,328.9830017,269.9869995,tee,rough,59.44609833,F,T,F,T,F,14.7972002
56715016,12360470,1,2/28/2018 6:34:28  PM ,Seagate Country Club,Dr,F,T,F,445.5570068,247.5919952,tee,rough,199.1649933,F,,F,F,T,21.32859993
7845532,1099934,11,5/15/2015 5:37:02  PM ,Olde Stonewall GC - Olde Stonewall,Dr,T,F,F,368.1019897,114.1399994,tee,fairway,258.0069885,F,,F,F,T,2.193890095
20061152,4845006,2,7/26/2014 5:29:03  PM ,Totteridge GC,Dr,T,F,F,327.8930054,88.58249664,tee,fairway,241.1119995,F,,F,F,T,12.13370037
46993984,10179350,15,8/30/2017 10:06:23  PM ,The Santaluz Club,3w,T,F,F,344.7489929,134.1940002,tee,fairway,211.4170074,F,,F,F,T,8.577090263
10752738,5161606,11,8/31/2014 2:35:01  PM ,Olde Stonewall GC - Olde Stonewall,Dr,T,F,F,367.1659851,148.9170074,tee,fairway,219.177002,F,,F,T,F,5.507219791
45473444,9848356,10,8/22/2017 2:59:55  PM ,National Golf Links of America,Dr,T,F,F,391.6000061,148.7689972,tee,fairway,243.2440033,F,,F,T,F,20.41360092
14604508,1431490,8,7/30/2015 11:48:03  AM ,Great River GC,Dr,T,F,F,483.0390015,255.253006,tee,fairway,230.5789948,F,,F,F,T,21.98990059
55664511,12118328,9,2/8/2018 10:24:53  PM ,Torrey Pines GC - North,Dr,T,F,F,460.1440125,220.5549927,tee,fairway,251.1670074,F,,F,T,F,8.741250038
56667956,12347168,1,2/26/2018 8:43:29  PM ,Milbrook Club,Dr,T,F,F,431.0679932,210.9420013,tee,fairway,232.3679962,F,,F,T,F,1.43139E-08
28876679,2430337,10,6/4/2016 2:14:00  PM ,Tamarack CC,3h,F,T,F,325.3980103,118.6869965,tee,rough,218.6369934,F,,F,F,T,22.12750053
12951190,3938011,13,8/25/2014 8:39:03  PM ,Hudson Hills GC,Dr,T,F,F,366.1679993,113.8710022,tee,fairway,252.3249969,F,,F,T,F,12.66009998
12224580,5528803,18,9/13/2015 2:00:05  PM ,Yale University GC,Dr,T,F,F,474.4639893,278.4769897,tee,fairway,199.8690033,F,,F,T,F,3.456130028
19162898,2325261,6,2/25/2017 5:27:03  PM ,Tamarack CC - Temp Greens,5i,T,F,F,189.5939941,105.3519974,rough,fairway,85.63780212,F,,F,F,T,4.01733017
36912327,7920143,3,6/7/2017 7:31:58  PM ,Westchester CC - West,Dr,F,T,F,444.0750122,220.8379974,tee,rough,225.8809967,F,,F,F,T,24.07869911
5791965,3548963,4,7/29/2015 6:31:01  PM ,Great River GC,Dr,F,F,T,445.446991,197.6849976,tee,rough,249.4140015,F,,F,T,F,19.53000069
24615345,403838,13,7/16/2016 1:36:05  PM ,Tamarack CC,Dr,T,F,F,425.0029907,190.6100006,tee,fairway,235.6959991,F,,F,F,T,17.5454998
24592642,3358189,1,9/28/2014 6:54:04  PM ,Maple Moor GC,Dr,F,T,F,341.5950012,107.4970016,tee,rough,236.0970001,F,,F,F,T,17.73460007
6386211,2895631,5,6/20/2016 5:30:02  PM ,Bethpage State Park GC - Black,Dr,F,F,T,379.6000061,132.5359955,tee,rough,247.1399994,F,,F,T,F,13.57619953
47805731,10365590,15,9/13/2017 9:27:27  PM ,New Seabury CC - Dunes,Dr,F,F,T,448.2099915,242.6679993,tee,rough,245.0359955,F,,F,T,F,20.30750084
59398060,12941075,11,4/7/2018 3:48:15  PM ,CC of New Canaan,Dr,T,F,F,284.1929932,99.38829803,tee,fairway,207.7449951,F,,F,T,F,4.768869877
16151681,5701257,4,11/16/2015 8:31:01  PM ,Delray Beach GC,3w,F,F,T,371.4930115,163.8699951,tee,sand,211.0529938,F,,F,T,F,26.47649956
24427806,4946029,1,8/4/2016 8:52:03  PM ,New Seabury CC - Ocean,Dr,T,F,F,402.151001,182.6519928,tee,fairway,233.7070007,F,,F,F,T,13.00860023
14535249,674463,6,8/30/2015 6:59:02  PM ,Westchester CC - West,Dr,T,F,F,387.2839966,189.1549988,tee,fairway,220.7680054,F,,F,T,F,2.815700054
17999071,6202172,15,7/27/2016 3:20:05  PM ,Old Oaks CC,Dr,T,F,F,334.9370117,96.48500061,tee,fairway,261.9840088,F,,F,F,T,10.10410023
