ROUND_SHOT_ID,ROUND_HOLE_ID,HOLE_NO,PLAYED_DT_TIME,COURSE_NAME,SHORT_DESCR,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN,END_TERRAIN,SHOT_DIST,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST
55616923,12123762,10,2/8/2018 10:47:38  PM ,Torrey Pines GC - North,Dr,T,F,F,486.3559875,253.9309998,tee,fairway,233.0639954,F,,F,F,T,0.873494983
11014487,1874556,17,8/14/2014 11:38:03  PM ,Winged Foot GC - West,Dr,T,F,F,399.2470093,164.2339935,tee,fairway,240.878006,F,,F,T,F,0.00438503
3181564,857516,4,11/8/2015 4:12:01  PM ,Tamarack CC,Dr,F,F,T,402.1470032,178.897995,tee,rough,225.0130005,F,,F,T,F,23.72710037
5854119,5521682,7,4/16/2015 12:00:05  AM ,The Crossings At Carlsbad,Dr,T,F,F,394.4729919,201.4179993,tee,fairway,199.276001,F,,F,F,T,6.659689903
52144108,11334334,1,11/15/2017 5:58:30  PM ,Greenwich CC,Dr,T,F,F,279.1289978,106.9720001,tee,fairway,172.2510071,F,,F,T,F,3.223069906
7850903,5112761,10,2/26/2015 8:12:05  PM ,CC of Orlando,Dr,F,T,F,358.9830017,158.4720001,tee,rough,203.1730042,F,,F,F,T,38.39319992
31877439,6808242,9,4/14/2017 7:01:50  PM ,Tamarack CC - Temp Greens,Dr,F,F,T,340.8500061,75.44599915,tee,rough,267.9649963,F,,F,T,F,15.76850033
38426332,8258814,8,6/21/2017 1:06:50  PM ,Westchester CC - West,3w,F,F,T,338.4949951,261.4240112,tee,rough,77.29129791,F,,F,T,F,2.908659935
6602081,4188361,18,7/29/2015 8:55:04  PM ,Great River GC,Dr,T,F,F,338.8460083,130,tee,fairway,241.0910034,F,,F,T,F,13.00889969
24356888,5688942,4,2/2/2016 2:13:03  PM ,McArthur GC,Dr,T,F,F,348.1889954,117.3809967,tee,fairway,235.1849976,F,,F,T,F,5.80384016
14552047,3681290,13,5/6/2014 8:21:05  PM ,Oak Creek GC,Dr,T,F,F,342.3359985,123.2969971,tee,fairway,219.1560059,F,,F,T,F,1.023309946
21508907,3361587,18,9/28/2014 10:09:04  PM ,Maple Moor GC,Dr,T,F,F,348.1960144,146.4750061,tee,fairway,201.7810059,F,,F,T,F,2.962510109
7625231,2643264,10,6/10/2015 5:59:00  PM ,Village Club of Sands Point,Dr,F,T,F,324.3460083,93.686203,tee,rough,238.4279938,F,,F,F,T,20.34760094
11312845,1806521,14,8/19/2014 7:24:05  PM ,TPC of Boston At Great Woods,Dr,T,F,F,426.0090027,203.7400055,tee,fairway,242.3569946,F,,F,T,F,9.665690422
20609898,130828,16,3/8/2015 5:17:00  PM ,Hyatt Hill Country GC - Lakes/Creeks,3h,T,F,F,264.7839966,127.7949982,tee,fairway,191.4400024,F,,F,F,T,8.806260109
59353014,12941457,17,4/7/2018 4:51:25  PM ,CC of New Canaan,Dr,F,T,F,297.7449951,70.47910309,tee,rough,241.0890045,F,,F,F,T,23.79920006
51198286,11128899,16,10/27/2017 9:17:25  PM ,Brooklawn CC,Dr,F,F,T,260.3909912,81.78610229,tee,rough,212.276001,F,,F,T,F,16.18239975
16090844,5080741,9,2/18/2016 6:54:12  PM ,Seminole GC,Dr,T,F,F,444.4460144,213.4589996,tee,fairway,230.9949951,F,,F,T,F,14.84379959
19622528,679028,1,8/30/2015 5:45:01  PM ,Westchester CC - West,3h,T,F,F,256.9859924,75.96009827,tee,fairway,181.6040039,F,,F,T,F,3.444920063
14705768,6214989,1,7/27/2016 4:17:03  PM ,Old Oaks CC,Dr,F,T,F,381.8739929,142.2079926,tee,rough,239.8179932,F,,F,F,T,21.58410072
