ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML
6917603,sand,32365329,F,F,T,,-0.274484992,330.4259949,96.52619934,1,4,234.9080048,4.067359924,0,F,,F,T,F,16.52540016,745636-1-1,4/21/2017 3:33:06  AM ,,4/22/2017 3:36:24  AM ,,U
10330716,rough,47640635,F,F,T,,-0.193832994,341.5700073,174.3730011,1,2,178.3059998,5.914969921,0,F,,F,T,F,23.27370071,1140803-2-1,9/13/2017 10:16:29  AM ,,9/14/2017 6:37:51  AM ,,U
8860022,rough,41128894,F,F,T,,-0.509751976,401.3330078,242.7769928,1,2,206.7230072,6.055540085,0,F,T,F,T,F,21.32489967,977483-6-1,7/15/2017 5:35:11  AM ,,7/16/2017 5:35:09  AM ,,U
9844568,rough,45466163,F,F,T,,-0.229776993,418.0369873,213.8070068,1,2,217.2059937,4.920639992,0,F,,F,T,F,25.30739975,1085847-7-1,8/23/2017 5:27:57  AM ,,8/24/2017 5:35:19  AM ,,U
9599952,rough,44380482,F,F,T,,-0.223895997,491.2019958,285.3190002,1,2,210.6410065,22.0904007,0,F,T,F,T,F,34.15019989,1056889-9-1,8/13/2017 5:25:17  AM ,,8/20/2017 10:57:33  AM ,,U
8273558,rough,38485852,F,F,T,,-0.52363503,357.7460022,231.9989929,1,2,129.6340027,4.390789986,0,F,T,F,T,F,14.25399971,911416-13-1,6/22/2017 5:30:51  AM ,,6/23/2017 7:29:20  AM ,,U
9526135,sand,44039101,F,F,T,,-0.271580994,407.3089905,173.1089935,1,4,239.7330017,6.768929958,0,F,,F,T,F,16.3987999,1050720-11-1,8/10/2017 5:25:51  AM ,,8/20/2017 10:57:33  AM ,,U
8131943,rough,37901695,F,F,T,T,-0.718356013,146.3000031,75.07790375,2,2,80.3003006,42.45569992,0,F,,F,T,F,51.78290176,896856-8-2,6/17/2017 10:59:49  AM ,,6/19/2017 10:10:43  AM ,,U
6977883,rough,32651378,F,F,T,,-0.0780074,309.7789917,126.211998,1,2,198.9199982,14.68659973,0,F,T,F,T,F,28.37290001,752259-16-1,4/24/2017 3:49:09  AM ,,4/25/2017 3:39:10  AM ,,U
8257943,rough,38493242,F,F,T,,-0.776616991,332.4760132,251.3670044,1,2,81.11139679,58.56309891,0,F,,F,T,F,8.188770294,910900-8-1,6/22/2017 5:30:51  AM ,,6/23/2017 7:29:20  AM ,,U
