ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole,,sqr x,sqr y
8136437,rough,37818113,F,F,T,T,-1.684090018,144.871994,70.97049713,2,2,206.5579987,37.4341011,1,F,,F,T,F,11.56900024,896858-8-2,6/17/2017 10:59,,6/18/2017 9:26,,U,DYLAN ,"May. 21th, 2018",16,,133.8417666,4.257052216
9020276,rough,41836363,F,T,F,,-1.214409947,401.3450012,204.5429993,1,2,233.0980072,5.085460186,1,F,,F,F,T,24.59160042,995395-14-1,7/21/2017 7:59,,7/22/2017 5:47,,U,MUHAMMAD ,"Apr. 24th, 2018",17,,604.7468112,599.1110939
7023626,rough,32915267,F,F,T,,-0.0115567,394.0979919,167.9570007,1,2,236.7680054,11.83720016,0,F,T,F,T,F,32.9095993,758960-14-1,4/27/2017 3:24,,4/28/2017 3:26,,U,ALEXANDER ,"Apr. 5th, 2018",18,,1083.041726,792.2392081
7431768,rough,34703314,F,F,T,,-0.119884998,386.67099,180.6909943,1,2,251.4060059,4.123700142,0,F,T,F,T,F,4.251580238,806110-11-1,5/18/2017 9:04,,5/19/2017 8:14,,U,ARCHIE ,"Apr. 21th, 2018",4,,18.07593452,1830.534378
9594132,rough,44459852,F,F,T,T,-0.190549999,315.269989,194.3800049,2,2,222.6679993,12.20219994,0,F,,F,T,F,2.924849987,1056889-18-2,8/13/2017 5:25,,8/20/2017 10:57,,U,BENJAMIN ,"May. 24th, 2018",5,,8.554747446,197.3108508
9555167,rough,44135257,F,F,T,T,-0.845561981,144.7220001,105.2440033,2,2,206.6600037,41.6570015,0,F,,F,T,F,8.176130295,1053235-8-2,8/11/2017 5:18,,8/20/2017 10:57,,U,LUCAS ,"Apr. 25th, 2018",6,,66.8491066,3.84653105
8586133,rough,39878089,F,T,F,,-0.359219015,419.7460022,236.7630005,1,2,232.5249939,6.31554985,0,F,T,F,F,T,8.537420273,947919-13-1,7/4/2017 8:22,,7/5/2017 5:42,,U,LEO ,"Apr. 21th, 2018",7,,72.88754492,571.3884362
9731421,rough,45057094,F,F,T,,-0.136059001,409.3770142,192.8959961,1,2,207.2669983,23.20940018,0,F,T,F,T,F,34.53879929,1076781-11-1,8/20/2017 10:57,,8/21/2017 5:37,,U,HENRY ,"Apr. 24th, 2018",8,,1192.928656,1.83402805
6851587,rough,31936045,F,F,T,,-0.196952999,331.7799988,172.9609985,1,2,158.9100037,20.34749985,0,F,T,F,T,F,6.605879784,736700-2-1,4/16/2017 3:38,,4/17/2017 3:42,,U,JAKE ,"Apr. 25th, 2018",9,,43.63764772,2471.209124
8591873,rough,39936846,F,F,T,,-0.994835973,409.1560059,345.7359924,1,2,206.1959991,63.83679962,0,F,T,F,T,F,5.948379993,947919-14-1,7/4/2017 8:22,,7/5/2017 5:42,,U,LOGAN ,"Apr. 21th, 2018",1,,35.38322454,5.881896338
9182179,fairway,42584218,T,F,F,,-1.773120046,320,95.55190277,1,5,289.6749878,7.607900143,2,F,,F,T,F,14.31330013,1014050-14-1,7/28/2017 6:17,,8/3/2017 8:46,,U,TYLER ,"Apr. 24th, 2018",2,,204.8705606,6569.706593
8861864,rough,41075006,F,F,T,T,0.164271995,343.0969849,153.8950043,2,2,220.5910034,40.75669861,0,F,,F,T,F,8.540229797,978688-9-2,7/15/2017 5:35,,7/16/2017 5:35,,U,JAYDEN ,June. 5th 2018,3,,72.93552499,143.2747279
7169576,rough,33533482,F,F,T,,-1.646029949,430.9719849,297.480011,1,2,229.875,44.73339844,1,F,T,F,T,F,30.48530006,774081-4-1,5/4/2017 6:26,,5/5/2017 10:10,,U,ISAAC ,"Apr. 21th, 2018",8,,929.3535197,451.7214122
10630903,rough,48925600,F,F,T,,-1.243559957,437.6270142,226.7830048,1,2,162.4730072,37.88579941,1,F,,F,T,F,31.22089958,1174023-2-1,9/28/2017 6:07,,9/29/2017 6:21,,U,FINLEY ,"Apr. 2th, 2018",9,,974.7445706,2129.661349
9548824,rough,44122515,F,F,T,,-0.035633001,412.881012,184.6759949,1,2,219.1679993,29.8071003,0,F,T,F,T,F,39.90100098,1052492-4-1,8/11/2017 5:18,,8/20/2017 10:57,,U,MASON ,"Apr. 25th, 2018",10,,1592.089879,111.2336842
9739128,rough,45036288,F,F,T,T,-0.018440099,286.1950073,138.4320068,2,2,250.2769928,3.647840023,0,F,,F,T,F,20.61910057,1073926-17-2,8/20/2017 10:57,,8/21/2017 5:37,,U,RYAN ,"Apr. 11th, 2018",11,,425.1473083,1735.199974
9605131,rough,44373464,F,F,T,T,-0.495083004,206.9490051,122.4309998,2,2,203.4640045,0.466681004,0,F,,F,T,F,16.3885994,1058625-6-2,8/14/2017 5:20,,8/20/2017 10:57,,U,HARRISON ,"Apr. 24th, 2018",12,,268.5861903,26.59729685
7685304,rough,35699854,F,F,T,,-0.088601001,298.5620117,114.0090027,1,2,209.6080017,3.46401,0,F,T,F,T,F,20.74810028,834309-16-1,5/29/2017 10:28,,5/30/2017 7:38,,U,ADAM ,"Apr. 25th, 2018",13,,430.4836652,0.97365678
6952129,rough,32535626,F,F,T,,0.025959101,356.8330078,138.654007,1,2,240.7550049,37.63650131,0,F,T,F,T,F,23.11109924,751109-18-1,4/23/2017 3:46,,4/24/2017 3:49,,U,LEWIS ,"Apr. 21th, 2018",14,,534.1229081,1032.577483
8978916,rough,41630351,F,T,F,,-0.926348984,371.7210083,152.3540039,1,2,230.0359955,14.33710003,1,F,,F,F,T,6.819839954,990631-16-1,7/19/2017 5:48,,7/20/2017 7:11,,U,EDWARD ,"Apr. 23th, 2018",9,,46.510217,458.5908444
6909621,rough,32297262,F,T,F,T,-0.688664973,165.970993,92.76650238,2,2,240.6239929,17.72500038,0,T,,F,F,T,14.5593996,744167-9-2,4/20/2017 3:24,,4/21/2017 3:33,,U,LUKE ,"Apr. 25th, 2018",1,,211.9761167,1024.174835
8849028,rough,41052110,F,T,F,,-0.186316997,401.0419922,195.8639984,1,2,89.03559875,17.69860077,0,F,T,F,F,T,0.658545017,975860-15-1,7/14/2017 5:45,,7/15/2017 5:35,,U,FREDDIE ,"Apr. 21th, 2018",2,,0.433681539,14300.73067
9586094,sand,44405879,F,F,T,T,-0.951849997,174.1779938,55.68579865,2,4,236.2890015,5.615330219,0,F,,F,T,F,15.69620037,1059500-12-2,8/13/2017 5:25,,8/20/2017 10:57,,U,MATTHEW ,"Apr. 24th, 2018",9,,246.3707061,765.5038523
10958416,fairway,50361663,T,F,F,T,0.080927901,334.1419983,179.1499939,2,5,228.1809998,8.56774044,0,F,,F,T,F,36.23300171,1208992-5-2,10/16/2017 6:31,,10/17/2017 5:50,,U,LIAM ,"Apr. 25th, 2018",16,,1312.830413,382.5833734
8014238,rough,37304597,F,F,T,,-0.243903995,331.7229919,181.0480042,1,2,198.9250031,52.11569977,0,F,T,F,T,F,37.50690079,880684-18-1,6/11/2017 7:13,,6/12/2017 5:24,,U,ZACHARY ,"Apr. 21th, 2018",17,,1406.767607,94.01742148
8135484,rough,37837684,F,F,T,T,-0.570878983,288.1860046,236.3119965,2,2,181.3390045,3.467050076,0,F,,F,T,F,3.611099958,895452-17-2,6/17/2017 10:59,,6/18/2017 9:26,,U,CALLUM ,"Apr. 24th, 2018",18,,13.04004291,744.3215316
7709073,rough,35700163,F,T,F,,-1.19611001,323.131012,168.9120026,1,2,197.0939941,26.70890045,1,F,,F,F,T,27.86300087,840055-10-1,5/29/2017 10:28,,5/30/2017 7:38,,U,SEBASTIAN ,"Apr. 25th, 2018",4,,776.3468175,132.8778872
9638132,rough,44472863,F,F,T,T,-0.701228976,242.9600067,207.5700073,2,2,225.298996,7.118289948,0,F,,F,T,F,8.47356987,1062047-2-2,8/14/2017 5:20,,8/20/2017 10:57,,U,CONNOR ,"Apr. 21th, 2018",5,,71.80138634,278.1468375
6351242,rough,29796478,F,F,T,,-0.039390001,378.1520081,164.4660034,1,2,218.9900055,9.245739937,0,F,T,F,T,F,24.27129936,673754-2-1,3/11/2017 6:03,,3/12/2017 5:34,,U,JAMIE ,"Apr. 24th, 2018",6,,589.0959726,107.510858
6947282,rough,32545187,F,F,T,T,-0.868674994,171.0440063,150.7630005,2,2,195.2180023,11.3828001,0,F,,F,T,F,23.46349907,751109-14-2,4/23/2017 3:46,,4/24/2017 3:49,,U,THEO ,"Apr. 25th, 2018",7,,550.5357886,179.6473496
10941692,rough,50380237,F,F,T,T,-1.722149968,158.1790009,105.4729996,2,2,221.3860016,9.614819527,1,F,,F,T,F,33.06079865,1208992-18-2,10/16/2017 6:31,,10/17/2017 5:50,,U,TOBY ,"Apr. 21th, 2018",8,,1093.016407,162.938597
8145370,rough,37817634,F,F,T,T,-0.531868994,198.6119995,114.9789963,2,2,208.8399963,23.7784996,0,F,,F,T,F,9.883839607,896856-2-2,6/17/2017 10:59,,6/19/2017 10:10,,U,HARVEY ,"Apr. 24th, 2018",9,,97.69028538,0.047845036
7470743,rough,34933532,F,F,T,,-2.03557992,290.5050049,96.04029846,1,2,226.8609924,0.278943986,2,F,,F,T,F,29.65579987,811112-16-1,5/20/2017 5:30,,5/21/2017 6:24,,U,MICHAEL ,"May. 25th, 2018",1,,879.4664659,332.6877936
9524573,rough,44007781,F,F,T,,-0.330327988,355.0920105,196.8690033,1,2,244.7830048,5.640639782,0,F,T,F,T,F,13.21809959,1049865-2-1,8/10/2017 5:25,,8/20/2017 10:57,,U,NATHAN ,"Apr. 21th, 2018",2,,174.7181568,1307.671699
8008527,rough,37307408,F,F,T,,-0.0419209,324.493988,128.9230042,1,2,242.1069946,30.84980011,0,F,T,F,T,F,6.419499874,880684-3-1,6/11/2017 7:13,,6/12/2017 5:24,,U,HARLEY ,"Apr. 24th, 2018",3,,41.20997863,1121.29434
