ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
9548824,sand,44150005,F,F,T,T,-0.876380026,184.6759949,63.1053009,2,4,121.5709991,8.813779831,0,F,,F,T,F,23.04140091,1052492-4-2,8/11/2017 5:18,,8/20/2017 10:57,,U,STANLEY ,"Apr. 25th, 2018",5
7889289,rough,36743833,F,F,T,,-0.136059001,408.70401,195.4519958,1,2,226.654007,28.54439926,0,F,T,F,T,F,46.0807991,863419-1-1,6/5/2017 5:24,,6/6/2017 5:25,,U,KIAN ,"Apr. 21th, 2018",6
7193638,rough,33567415,F,F,T,,-0.277828008,407.7950134,210.9900055,1,2,197.8439941,9.527919769,0,F,T,F,T,F,24.71190071,775996-4-1,5/5/2017 7:23,,5/6/2017 22:24,,U,EVAN ,"Apr. 24th, 2018",7
10958416,rough,50362510,F,F,T,,-0.321595013,511.2529907,334.1419983,1,2,201.5769958,22.00250053,0,F,T,F,T,F,37.9355011,1208992-5-1,10/16/2017 6:31,,10/17/2017 5:50,,U,JUDE ,"Apr. 25th, 2018",8
7773463,rough,36185215,F,F,T,,0.101948,359.8590088,120.5070038,1,2,239.6670074,19.98310089,0,F,T,F,T,F,40.42580032,850672-8-1,6/1/2017 5:19,,6/2/2017 5:46,,U,FRANKIE ,"Apr. 21th, 2018",9
7697279,fairway,35757452,T,F,F,T,0.141216993,318.3370056,154.6809998,2,5,189.3540039,1.874819994,0,F,,F,T,F,16.70980072,840055-5-2,5/29/2017 10:28,,5/30/2017 7:38,,U,ELLIOT ,"Apr. 24th, 2018",1
6699922,rough,31363749,F,F,T,T,-0.566120982,182.9109955,90.15720367,2,2,92.75409698,3.603009939,0,F,,F,T,F,14.31820011,719096-14-2,4/9/2017 8:41,,4/10/2017 6:18,,U,HAYDEN ,"Apr. 25th, 2018",2
9619739,rough,44526953,F,T,F,,-0.368216991,387.053009,212.697998,1,2,176.7830048,21.80680084,0,F,T,F,F,T,40.73389816,1062047-11-1,8/14/2017 5:20,,8/20/2017 10:57,,U,ASHTON ,"Apr. 21th, 2018",3
7923309,rough,36940548,F,F,T,T,-0.773827016,165.3000031,130.3240051,2,2,35.28490067,18.76989937,0,F,,F,T,F,35.87189865,871418-13-2,6/8/2017 5:25,,6/9/2017 5:27,,U,JOEL ,"Apr. 24th, 2018",8
7394921,rough,34479229,F,F,T,,-0.573018014,430,270.0700073,1,2,164.5579987,20.50250053,0,F,T,F,T,F,35.76050186,798943-13-1,5/15/2017 6:14,,5/16/2017 5:21,,U,CALEB ,"May. 25th, 2018",9
8261777,rough,38469894,F,T,F,,-0.0130211,336.321991,133.5039978,1,2,202.8200073,8.36977005,0,F,T,F,F,T,25.44659996,910900-4-1,6/22/2017 5:30,,6/23/2017 7:29,,U,BAILEY ,"Apr. 21th, 2018",10
8913381,rough,41291471,F,F,T,T,-0.627665997,250.4440002,209.2460022,2,2,42.10089874,0.81269002,0,F,,F,T,F,12.37909985,983560-18-2,7/16/2017 5:35,,7/17/2017 5:37,,U,ELIJAH ,"Apr. 24th, 2018",11
8276408,fairway,38425077,T,F,F,T,-0.335759014,233.5769958,151.276001,2,5,90.4992981,14.51669979,0,F,,F,T,F,2.544650078,910900-13-2,6/22/2017 5:30,,6/23/2017 7:29,,U,TAYLOR ,"Apr. 25th, 2018",12
